Recourse_Method,Dataset,ML_Model,L0_distance,L1_distance,L2_distance,Linf_distance,Constraint_Violation,Redundancy,y-Nearest-Neighbours,Success_Rate,Average_Time
cem,adult,linear,5.0,1.1528124883716788,0.37591524368339824,0.4931506849315068,1.0,6.0,,,
cem,adult,linear,2.0,0.5842375649231454,0.26288516586142696,0.5068493150684932,1.0,3.0,,,
cem,adult,linear,6.0,1.8076447122617576,1.1820147681842423,1.0,1.0,7.0,,,
cem,adult,linear,4.0,1.6507016498648592,1.2622006097960878,1.0,1.0,4.0,,,
cem,adult,linear,4.0,1.130882176411938,1.01349583864716,1.0,0.0,7.0,,,
cem,adult,linear,2.0,0.6632570360688014,0.25906968822194226,0.4714761972427368,1.0,3.0,,,
cem,adult,linear,4.0,1.4921355252463226,0.5875945534414171,0.5,1.0,4.0,,,
cem,adult,linear,4.0,1.2014739086777706,0.5049172698632444,0.5,1.0,4.0,,,
cem,adult,linear,4.0,1.0240316489038102,0.3288844503292527,0.4691338539123535,1.0,5.0,,,
cem,adult,linear,5.0,1.4453618625070797,0.6338775734449849,0.5616438356164384,1.0,5.0,,,
cem,compass,linear,,,,,,,,0.0,1.6541577099999984
cem,credit,linear,3.0,1.7769023187775477,1.3061032274348603,1.0,2.0,4.0,0.010000000000000007,1.0,1.2870565800000011
cem,credit,linear,2.0,0.8763458930319568,0.3916362160330781,0.5,1.0,5.0,,,
cem,credit,linear,2.0,0.3974917153320969,0.07916944030924394,0.20795500278472887,1.0,7.0,,,
cem,credit,linear,2.0,0.5462684860766109,0.1493979777643521,0.28296685218811035,1.0,6.0,,,
cem,credit,linear,2.0,0.35726475806760605,0.06491671407985677,0.20205950736999512,1.0,6.0,,,
cem,credit,linear,2.0,0.5001578392735988,0.12526476438998205,0.25971829891204834,1.0,7.0,,,
cem,credit,linear,2.0,0.6251430523924159,0.1981701077745868,0.34977495670318604,1.0,4.0,,,
cem,credit,linear,2.0,0.34073591492800137,0.058211450622962964,0.17933928966522214,1.0,6.0,,,
cem,credit,linear,2.0,0.8829192025916988,0.39105905137610375,0.4668160676956177,1.0,3.0,,,
cem,credit,linear,2.0,0.8938524801811657,0.4007740847469279,0.472303032875061,1.0,4.0,,,
cem,credit,linear,2.0,0.8225841779138565,0.3395874548080262,0.4364427328109741,1.0,5.0,,,
cem,credit,linear,2.0,0.9790705492911852,0.47950858636114896,0.5,1.0,5.0,,,
cem,credit,linear,2.0,0.49892023672775204,0.13066065950448594,0.3051376342773437,1.0,6.0,,,
cem,credit,linear,2.0,0.6014621278647424,0.18190351504091493,0.32337141036987305,1.0,4.0,,,
cem,credit,linear,2.0,0.39651012420654297,0.07877960274939255,0.20746004581451416,1.0,2.0,,,
cem,credit,linear,2.0,0.42164599895477295,0.0897689630546239,0.2317548990249633,1.0,2.0,,,
cem,credit,linear,4.0,2.008430619826366,1.5000710751781927,1.0,2.0,8.0,,,
cem,credit,linear,4.0,2.03307394018758,1.501093884843071,1.0,2.0,8.0,,,
cem,credit,linear,2.0,0.7957387096205326,0.3374613769340159,0.5,1.0,5.0,,,
cem,credit,linear,4.0,2.0116731622269928,1.500136262471801,1.0,2.0,8.0,,,
cem,german,linear,3.0,1.3128678840304693,0.8589170539755435,0.8392857142857143,1.0,2.0,1.0,0.65,1.6581528450000007
cem,german,linear,2.0,0.20572363984608266,0.02785492358215146,0.16071428571428573,1.0,3.0,,,
cem,german,linear,3.0,0.4433085218240482,0.0970692604841892,0.2857142857142857,1.0,2.0,,,
cem,german,linear,3.0,0.7240067535763066,0.24682630456596635,0.44642857142857145,1.0,2.0,,,
cem,german,linear,3.0,0.8889940426484229,0.3267958339925789,0.4705882352941176,1.0,2.0,,,
cem,german,linear,3.0,1.3801710680970969,0.7199096233561398,0.6333223286012986,1.0,1.0,,,
cem,german,linear,3.0,1.4367700695332606,0.8692379133936757,0.8235294117647058,1.0,0.0,,,
cem,german,linear,3.0,0.6138439528997469,0.1379604456118398,0.25,1.0,2.0,,,
cem,german,linear,3.0,1.0681707314817641,0.4672413321539006,0.4821428571428572,1.0,2.0,,,
cem,german,linear,3.0,0.7731382582745874,0.2284984030963447,0.375,1.0,2.0,,,
cem,german,linear,3.0,0.6601625463655254,0.16247160896652127,0.29411764705882354,1.0,2.0,,,
cem,german,linear,3.0,1.2269652000780504,0.7255003274347561,0.7857142857142857,1.0,2.0,,,
cem,german,linear,3.0,0.8491114834841167,0.5193678994617562,0.7142857142857143,1.0,2.0,,,
cem,mortgage,linear,,,,,,,,0.0,1.7085736800000006
cem,twomoon,linear,2.0,0.8837308673647641,0.5965249966990713,0.7628287288832758,0.0,1.0,1.0,1.0,1.3745658899999966
cem,twomoon,linear,2.0,0.9127432622556788,0.6980305683362517,0.8315252242998109,0.0,1.0,,,
cem,twomoon,linear,2.0,1.012163556255839,0.8018203947419003,0.8865964706403551,0.0,1.0,,,
cem,twomoon,linear,2.0,0.9686783870888324,0.7159336260592825,0.8355974441612319,0.0,1.0,,,
cem,twomoon,linear,2.0,0.7863899961827292,0.4496925487092833,0.6582307840346471,0.0,1.0,,,
cem,twomoon,linear,2.0,0.851417666331969,0.5347738472360662,0.7192372184756323,0.0,1.0,,,
cem,twomoon,linear,2.0,0.645771937502335,0.2839755802119099,0.5171343697473534,0.0,1.0,,,
cem,twomoon,linear,2.0,0.9520052101162902,0.7249894522040774,0.8446708110101884,0.0,1.0,,,
cem,twomoon,linear,2.0,0.5860443081475644,0.2276687582944395,0.4602716574188756,0.0,1.0,,,
cem,twomoon,linear,2.0,0.9902057032214018,0.7485288624137183,0.8544600520865108,0.0,1.0,,,
cem,twomoon,linear,2.0,0.6154925026204311,0.2553641932312863,0.4893346359061274,0.0,2.0,,,
cem,twomoon,linear,2.0,0.6457820819134469,0.2846615924640556,0.5180119570623817,0.0,1.0,,,
cem,twomoon,linear,1.0,0.7681319865726262,0.5900267247208143,0.7681319709013641,0.0,1.0,,,
cem,twomoon,linear,2.0,0.6550978699200535,0.2928398463387621,0.5253660686363927,0.0,2.0,,,
cem,twomoon,linear,1.0,0.7220195936466738,0.5213122917239018,0.7220195923407493,0.0,1.0,,,
cem,twomoon,linear,1.0,0.725453940713398,0.5262834039186766,0.7254539295631918,0.0,1.0,,,
cem,twomoon,linear,2.0,0.8870170192774787,0.7146147318044835,0.8442672497558652,0.0,1.0,,,
cem,twomoon,linear,2.0,0.8190881859931537,0.4883535091785685,0.6860407303737708,0.0,1.0,,,
cem,twomoon,linear,2.0,1.016268215720647,0.7937976010513288,0.8805566218879498,0.0,1.0,,,
